Nit|GESTOR|N°|COD. SUC|DEPARTAMENTO|CIUDAD / MUNICIPIO|"TIPOLOGIA (PROPIA/ALIADA)"|DANE|NOMBRE DE LA FARMACIA|DIRECCIÓN DE CONTACTO|TIPO DE ATENCIÓN FISICO/DOMICILIO|CANAL DOMICILIO|TELÉFONO DE CONTACTO|HORARIO ATENCIÓN|DISPENSACIÓN DE MEDICAMENTOS REFRIGERADOS (S/N)|DISPENSACIÓN DE MEDICAMENTOS DE CONTROL ESPECIAL (S/N)|DISPENSACIÓN DE MEDICAMENTOS ALTO COSTO (S/N)|TUTELA (S/N)|NO PBS|PBS|COBERTURA|PLAN PREMIUM|ATENCION 24 HORAS (S/N)|DOMINGOS/ FESTIVOS(S/N)|NOVEDADES EN PUNTOS|LATITUD|LONGITUD|CAJAS
800149695|CRUZ VERDE|73|11001_73|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CRUZ VERDE ZONA IN|Calle 13 # 65 21 Centro Comercial Zona IN|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a viernes 6:00 am a 7:00 pm /Sábados 6:00 am a 5:00 pm|SI|SI|SI|NO|NO|SI|PBS|SI|NO|NO||6.9925° N|72.7882° W|3
800149695|CRUZ VERDE|74|11001_74|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CRUZ VERDE PARQUE FONTIBÓN|Carrera 99 # 18 A 16|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a sábados 7:00 am a 8:00 pm /Domingos y festivos 9:00 am a 6:00 pm /Dispensación: 7:00 am a 6:00 pm|SI|SI|NO|NO|NO|SI|PBS|SI|NO|SI||7.0142° N|73.0280° W|1
800149695|CRUZ VERDE|75|11001_75|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CRUZ VERDE SUBA|Carrera 91 # 139 34 Local 3 Centro Comercial Suba 91|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a sábados 6:00 am a 8:00 pm /Domingos y festivos 8:00 am a 5:00 pm|SI|SI|SI|NO|NO|SI|PBS|NO|NO|SI||7.2174° N|73.0817° W|1
800149695|CRUZ VERDE|76|11001_76|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CRUZ VERDE SANTA BÁRBARA|Autopista Norte # 123 14|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a sábados 7:00 am a 9:00 pm /Domingos y festivos 8:00 am a 8:00 pm|SI|SI|SI|NO|NO|SI|PBS|NO|NO|SI||7.3633° N|72.7000° W|2
800149695|CRUZ VERDE|77|11001_77|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CRUZ VERDE PALERMO|Carrera 22 # 45 c 44|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a sábados 7:00 am a 7:00 pm /Domingos y festivos 9:00 am a 5:00 pm|SI|SI|SI|NO|NO|SI|PBS|NO|NO|SI||7.3350° N|72.8185° W|1
800149695|CRUZ VERDE|78|11001_78|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CRUZ VERDE CALLE 13|Calle 13 No. 62 96|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a sábados 7:00 am a 7:00 pm /Domingos y festivos 9:00 am a 5:00 pm|SI|NO|SI|SI|NO|SI|PBS|NO|NO|SI||6.9278° N|73.0047° W|1
800149695|CRUZ VERDE|79|11001_79|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CRUZ VERDE RESTREPO|Carrera 18 # 16 46 / 56 sur|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a Viernes 6:30 am a 7:00 pm / Sabados 6:30 am a 6pm Domingos y festivos 9:00 am a 5:00 pm|SI|SI|SI|NO|NO|SI|PBS|NO|NO|SI||7.2026° N|72.9445° W|1
800149695|CRUZ VERDE|80|11001_80|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CRUZ VERDE CALLE 106|Autopista Norte # 106 74|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a sábados 7:00 am a 9:00 pm /Domingos y festivos 9:00 am a 7:00 pm|SI|SI|SI|NO|NO|SI|PBS|NO|NO|SI||7.1248° N|73.0562° W|1
800149695|CRUZ VERDE|81|11001_81|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CRUZ VERDE RESTREPO CALLE 16 SUR|Calle 16 Sur No. 17 25|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a sábados 6:00 am a 7:00 pm|SI|NO|NO|NO|NO|SI|PBS|NO|NO|NO||7.0661° N|73.2248° W|1
800149695|CRUZ VERDE|82|11001_82|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CRUZ VERDE QUINTA PAREDES|Carrera 46 # 22 B 20|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a sábados 7:00 am a 7:00 pm /Domingos y festivos 9:00 am a 5:30 pm /Dispensación: Lunes a sábados 7:00 am a 6:00 pm|SI|SI|SI|NO|NO|SI|PBS|SI|NO|SI||SD|SD|1
800149695|CRUZ VERDE|83|11001_83|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CRUZ VERDE PLAZA DE LAS AMÉRICAS|Carrera 71D # 6 – 94 Sur Local 1922 Centro Comercial Plaza de las Américas|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a sábados 8:00 am a 7:00 pm/Domingos y festivos 9:00 am a 7:00 pm|SI|SI|SI|NO|NO|SI|PBS|NO|NO|SI||SD|SD|1
800149695|CRUZ VERDE|84|11001_84|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CRUZ VERDE TUNAL|Calle 47 B sur # 24B – 33 Entrada 8 piso 2 Centro Comercial Ciudad Tunal|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a sábados 7:00 am a 7:00 pm /Dispensacion: Lunes a sábados 7:00 am a 6:00 pm Domingos y festivos 9:00 am a 7:00 pm|SI|SI|SI|NO|NO|SI|PBS|NO|NO|SI||SD|SD|1
800149695|CRUZ VERDE|85|11001_85|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CRUZ VERDE CALLE 72|Calle 71 A # 5 90|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a viernes 7:00 am a 8:00 pm sábados 7:00 am a 7:00 pm /Domingos y festivos 9:00 am a 5:00 pm|SI|SI|SI|NO|NO|SI|PBS|NO|NO|SI||SD|SD|1
800149695|CRUZ VERDE|86|11001_86|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CRUZ VERDE CALLE 97|Calle 97 # 23 – 60 Local 5 Edificio Proksol|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a viernes 7:00 am a 7:00 pm /Sábados 8:00 am a 6:00 pm /Domingos y festivos 9:00 am a 5:00 pm|SI|SI|SI|NO|NO|SI|PBS|SI|NO|SI||SD|SD|1
800149695|CRUZ VERDE|87|11001_87|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CRUZ VERDE CALLE 54|Carrera 13 # 54 – 84 / 86|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a viernes 7:00 am a 7:00 pm /Sábados 8:00 am a 6:00 pm|SI|SI|SI|NO|NO|SI|PBS|SI|NO|NO||SD|SD|1
800149695|CRUZ VERDE|88|11001_88|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CRUZ VERDE CENTRO INTERNACIONAL|Carrera 13 # 26 –71 Centro Internacional Locales 103 y 104|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a viernes 7:00 am a 7:00 pm /Sábados 8:00 am a 4:00 pm|SI|SI|SI|NO|NO|SI|PBS|NO|NO|NO||SD|SD|1
800149695|CRUZ VERDE|89|11001_89|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CRUZ VERDE USAQUÉN|Carrera 7 # 120 A 49|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a viernes 7:00 a.m. a 9:00 p.m. /Sábados 7:00 a.m. a 8:00 p.m. /Domingos y festivos 9:00 a.m. a 8:00 p.m.|SI|NO|SI|NO|NO|SI|PBS|NO|NO|SI||SD|SD|
800149695|CRUZ VERDE|90|11001_90|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CRUZ VERDE TOBERÍN|Calle 166 # 20 18|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a viernes 6:00 am a 7:00 pm /Sábados 7:00 am a 2:00 pm|SI|SI|SI|NO|NO|SI|PBS|NO|NO|NO||SD|SD|
800149695|CRUZ VERDE|91|11001_91|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CRUZ VERDE PUENTE ARANDA|Calle 14 # 62 18|PUNTO FÍSICO|NO APLICA|18000910545|24 horas|SI|SI|SI|SI|NO|SI|PBS|SI|SI|SI||SD|SD|
800149695|CRUZ VERDE|92|11001_92|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CRUZ VERDE KENNEDY CENTRAL|Calle 40 Sur # 73 D 41|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a sábados 6:00 a.m. a 7:00 p.m. / Domingos y festivos 8:00 a.m. a 7:00 p.m.|SI|SI|NO|NO|NO|SI|PBS|NO|NO|SI||SD|SD|
800149695|CRUZ VERDE|93|11001_93|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CRUZ VERDE UAP 104|Carrera 19 # 104 37 Local 2|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a viernes 7:00 a.m. a 8:00 p.m. /Sábados 8:00 a.m. a 7:00 p.m.|SI|SI|NO|NO|NO|SI|PBS|SI|NO|NO||SD|SD|
800149695|CRUZ VERDE|94|11001_94|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CRUZ VERDE COUNTRY URGENCIAS|Calle 83 #16 A 10|PUNTO FÍSICO|NO APLICA|18000910545|24 Horas|SI|NO|NO|NO|NO|SI|PBS|NO|SI|SI||SD|SD|
800149695|CRUZ VERDE|95|11001_95|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CRUZ VERDE ACOMÉDICA|Calle 127 # 19 A 28 Auditorio 1|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a sábados 6:00 am a 10:00 pm /Domingos y festivos 8:00 am a 6:00 pm|SI|SI|NO|NO|NO|SI|PBS|SI|NO|SI||SD|SD|
800149695|CRUZ VERDE|96|11001_96|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CRUZ VERDE CARRERA 15|Carrera 15 # 82 68|PUNTO FÍSICO|NO APLICA|18000910545|24 horas|SI|SI|SI|NO|NO|SI|PBS|SI|SI|SI||SD|SD|
800149695|CRUZ VERDE|97|11001_97|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CRUZ VERDE CARRERA 90|Carrera 90 A # 76 A 74|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a sábados 6:00 am a 6:00 pm /Domingos 8:00 am a 5:00 pm|SI|NO|NO|NO|NO|SI|PBS|NO|NO|SI||SD|SD|
800149695|CRUZ VERDE|98|11001_98|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CRUZ VERDE QUIROGA|Calle 32 Sur No. 22 15|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a sábados 8:00 a.m. a 9:00 p.m / Domingos y festivos 9:00 a.m. a 8:00 p.m.|NO|NO|NO|NO|NO|SI|PBS|NO|NO|SI||SD|SD|
800149695|CRUZ VERDE|99|11001_99|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CRUZ VERDE CALLE 114|Autopista Norte # 114 44 local 8|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a viernes 7:00 a.m. a 8:00 p.m /Sábados 8:00 a.m. a 8:00 p.m./Domingos y festivos 9:00 a.m. a 5:00 p.m.|SI|SI|NO|NO|NO|SI|PBS|SI|NO|SI||SD|SD|
800149695|CRUZ VERDE|100|11001_100|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CRUZ VERDE ORQUIDEAS|Calle 161 # 19 10|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a sábados 7:00 am a 7:00 pm / Domingos y festivos 9:00 am a 5:00 pm|NO|NO|NO|NO|NO|SI|PBS|NO|NO|SI||SD|SD|
900994906|HUMSALUD|101|27099_101|CHOCÓ|BOJAYA|ALIADA|27099|DROGUERIA MACKLEY|Cabecera municipal Bellavista / Barrio Pueblo nuevo|PUNTO FÍSICO|NO APLICA|6046713652|Lunes a Viernes 7:00 am 5:00 pm Sábados: 7:00am 1:00pm.|SI|NO|SI|SI|SI|SI|PBS Y NO PBS|SI|NO|SI||SD|SD|1
828002423|DISCOLMETS|103|15104_103|BOYACÁ|BOYACÁ|PROPIA|15104|SF DISCOLMEDICA BOYACÁ|CALLE 47 A # 5 46|PUNTO FÍSICO|NO APLICA|8715505 EXT 113|LUNES A VIERNES 8:00am 12:00pm y 2:00pm 5:00pm. /Sábado: 8:00am 12:00pm.|SI|NO|NO|SI|SI|SI|PBS Y NO PBS|SI|NO|SI||SD|SD|
800149695|CRUZ VERDE|105|68001_105|SANTANDER|BUCARAMANGA|PROPIA|68001|CRUZ VERDE CALLE 56|Calle 56 # 32 67 Cabecera|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a viernes 7:00 am a 7:00 pm Sábados 8:00 am a 2:00 pm|SI|SI|SI|SI|NO|SI|PBS|SI|NO|NO||SD|SD|
800149695|CRUZ VERDE|106|68001_106|SANTANDER|BUCARAMANGA|PROPIA|68001|CRUZ VERDE PARQUE TURBAY|Cra 28 # 48 60 Barrio Sotomayor|PUNTO FÍSICO|NO APLICA|18000910545|24 Horas|SI|SI|NO|NO|NO|SI|PBS|SI|SI|SI||SD|SD|
800149695|CRUZ VERDE|107|68001_107|SANTANDER|BUCARAMANGA|PROPIA|68001|CRUZ VERDE CABECERA|Carrera 33 # 56 04|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a viernes 8:00 am a 7:00 pm/ Sábados 8:00 am a 2:00 pm|SI|SI|NO|NO|NO|SI|PBS|NO|NO|NO||SD|SD|
800149695|CRUZ VERDE|108|68001_108|SANTANDER|BUCARAMANGA|PROPIA|68001|CRUZ VERDE CARRERA 33|Carrera 33 # 41 45|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a viernes 7:00 a.m. a 6:00 p.m./Sábados 8:00 a.m. a 2:00 p.m.|SI|NO|SI|SI|NO|SI|PBS|NO|NO|NO||SD|SD|
800149695|CRUZ VERDE|109|68001_109|SANTANDER|BUCARAMANGA|PROPIA|68001|CRUZ VERDE CABECERA DEL LLANO|Carrera 33 # 46 61|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a viernes 7:00 a.m. a 7:00 p.m./ Sábado 8:00 a.m. a 2:00 p.m.|SI|NO|SI|NO|NO|SI|PBS|NO|NO|NO||SD|SD|
800149695|CRUZ VERDE|110|68001_110|SANTANDER|BUCARAMANGA|PROPIA|68001|CRUZ VERDE HOSPITAL BUCARAMANGA|Cra 33 # 30 A 49|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a Viernes 07:00 am 06:00 pm /Sábados 08:00 am 06:00 pm|NO|NO|SI|SI|NO|SI|PBS|NO|NO|NO||SD|SD|
900249425|PHARMASAN|111|54109_111|NORTE DE SANTANDER|BUCARASICA|PROPIA|54109|PHARMASAN BUCARASICA|Calle 1ra # 3 37 Barrio Centro|PUNTO FÍSICO|NO APLICA|18000423739|Lunes a Viernes 7:00 am a 5:00 pm // Sabado 8:00 am a 12:00 pm|SI|NO|NO|SI|SI|SI|PBS Y NO PBS|NO|NO|NO||8.079802239|72.9291993|2
800149695|CRUZ VERDE|112|76109_112|VALLE DEL CAUCA|BUENAVENTURA|ALIADA|76109|DROGUERÍA BAHIA BUENAVENTURA|CALLE 3° NO 2 18|PUNTO FÍSICO|NO APLICA|18000910545|LUNES A VIERNES 8:00 AM A 7:00 PM SABADO 8:00 AM 7:00 PM DOMINGOS Y FESTIVOS NO HAY SERVICIO|SI|NO|SI|SI|NO|SI|PBS|NO|NO|NO||SD|SD|
900331412|GENHOSPI|113|52110_113|NARIÑO|BUESACO|PROPIA|52110|SF GENHOSPI BUESACO|CARRERA 3 # 3 26 BARRIO EL SOCORRO|PUNTO FÍSICO|NO APLICA|6027316719|Lunes a viernes 8:00 12am 2 pm 6:00pm /Sabados: 8 12 m|SI|SI|NO|SI|SI|SI|PBS Y NO PBS|SI|NO|NO||SD|SD|
900716566|INSUMEDIC|114|25120_114|CUNDINAMARCA|CABRERA|PROPIA|25120|DISPENSARIO INSUMEDIC CABRERA|CARRERA 3 # 7 09 CABRERA|PUNTO FÍSICO|NO APLICA|3212341969|Lunes a Viernes 9:00am 3:00pm. /Sábado: 9:00am 12:00pm.|SI|NO|SI|SI|SI|SI|PBS Y NO PBS|SI|NO|NO||SD|SD|
800149695|CRUZ VERDE|116|76122_116|VALLE DEL CAUCA|CAICEDONIA|ALIADA|76122|MEDIVALLE CAICEDONIA|calle 3 #14 63 barrio la normal|PUNTO FÍSICO|NO APLICA|18000910545|LUNES A VIERNES 8:00 AM 4 PM SABADOS DOMINGOS Y FESTIVOS NO HAY SERVICIO|SI|SI|SI|SI|NO|SI|PBS|NO|NO|NO||SD|SD|
800149695|CRUZ VERDE|117|25126_117|CUNDINAMARCA|CAJICÁ|ALIADA|25126|ECONOMÍA 8018|Calle 5 No. 2 65|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a Viernes 7:00 am a 5:00 pm // Sabado 8:00 am a 12:00 pm|SI|NO|SI|SI|NO|SI|PBS|NO|NO|NO||SD|SD|
816001182|AUDIFARMA|119|76001_119|VALLE DEL CAUCA|CALI|PROPIA|76001|CAF COMPOSTELA|CALLE 6 NRO 39 70|PUNTO FÍSICO|NO APLICA|18000112554|LUNES VIERNES: 7:00 AM 7:00 PMSÁBADO: 7:00 AM 1:00 PM|SI|NO|SI|SI|SI|NO|NO PBS|NO|NO|NO||2,25745|757721|
800149695|CRUZ VERDE|120|76001_120|VALLE DEL CAUCA|CALI|PROPIA|76001|CRUZ VERDE ROOSEVELT|Calle 6 Nº. 43 54|PUNTO FÍSICO|NO APLICA|18000910545|24 Horas|SI|SI|SI|SI|NO|SI|PBS|NO|SI|SI||SD|SD|
800149695|CRUZ VERDE|121|76001_121|VALLE DEL CAUCA|CALI|PROPIA|76001|CRUZ VERDE CIUDAD JARDÍN|calle 18 # 106 11 local 1 y 2|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a viernes 7:00 am a 7:00 pm /Sábados, domingos y festivos 7:00 am a 5:00 pm|SI|SI|SI|NO|NO|SI|PBS|NO|NO|SI||3,2221|752373|
800149695|CRUZ VERDE|122|76001_122|VALLE DEL CAUCA|CALI|PROPIA|76001|CRUZ VERDE TEQUENDAMA|Carrera 44 # 8 A 03|PUNTO FÍSICO|NO APLICA|18000910545|24 Horas|SI|SI|SI|NO|NO|SI|PBS|NO|SI|SI||36,13326|545051|
800149695|CRUZ VERDE|123|76001_123|VALLE DEL CAUCA|CALI|PROPIA|76001|CRUZ VERDE JUMBO LIMONAR|Calle 5 # 69 03|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a domingos 8:00 am a 7:00 pm|SI|SI|NO|NO|NO|SI|PBS|NO|NO|SI||SD|SD|
800149695|CRUZ VERDE|124|76001_124|VALLE DEL CAUCA|CALI|PROPIA|76001|CRUZ VERDE SALOMIA|Carrera 1 # 47 20 Bodega 2 local 103|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a Domingo 06:00 am 09:00 pm Dispensaciones Casos Urgencias|SI|NO|SI|NO|NO|SI|PBS|NO|NO|NO||2,067|75783|
800149695|CRUZ VERDE|125|76001_125|VALLE DEL CAUCA|CALI|PROPIA|76001|CRUZ VERDE PARQUE VERSALLES|Avenida 4 Norte # 23 B 40|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a viernes 7:00 a.m. a 7:00 p.m. /Sábados 7:00 a.m. a 1:00 p.m.|SI|SI|NO|SI|NO|SI|PBS|NO|NO|NO||5.754622298730461|73.43708385|
800149695|CRUZ VERDE|126|76001_126|VALLE DEL CAUCA|CALI|PROPIA|76001|CRUZ VERDE DOÑA MARIA|Avenida 3norte #7 82 Loc.101 al 103|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a sábados 6:00 a.m. a 8:00 p.m. /Domingos y Festivos 8:00 a.m. a 6:00 p.m.|SI|NO|NO|NO|NO|SI|PBS|SI|NO|SI||3,59069|753822|
800149695|CRUZ VERDE|127|76001_127|VALLE DEL CAUCA|CALI|PROPIA|76001|CRUZ VERDE LA FLORA INDUSTRIAL|Carrera 1 # 47 20 Bodega 2 local 103|PUNTO FÍSICO|NO APLICA|18000910545|24 horas|SI|NO|SI|NO|NO|SI|PBS|NO|SI|SI||3,15|75,05|
800149695|CRUZ VERDE|128|76001_128|VALLE DEL CAUCA|CALI|PROPIA|76001|CRUZ VERDE CENTRO PROFESIONALES|Calle 9 # 46 67 Local 108|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a Sabado 7:00 am a 9:00pm|SI|NO|NO|SI|NO|SI|PBS|NO|NO|NO||5,55512167052243|7.33503E+14|
828002423|DISCOLMETS|129|41132_129|HUILA|CAMPOALEGRE|PROPIA|41132|SF DISCOLMEDICA CAMPOALEGRE|CARRERA 12 NO 19 70 B/CENTRO|PUNTO FÍSICO|NO APLICA|8715505 EXT 113|LUNES VIERNES 8:00 AM 12:00 PM Y 2:00 PM 5:00 PM / SÁBADO: 8:00 AM 12:00 PM|SI|SI|SI|SI|SI|SI|PBS Y NO PBS|SI|NO|SI||sd|sd|
900249425|PHARMASAN|130|68147_130|SANTANDER|CAPITANEJO|PROPIA|68147|PHARMASAN CAPITANEJO|Carrera 4 # 5 33|PUNTO FÍSICO|NO APLICA|3125895223|LUNES VIERNES 7:00 am a 5:00 pm / Sabado 8:00 am a 12:00 pm|SI|NO|NO|SI|SI|SI|PBS Y NO PBS|NO|NO|NO||6.520200095|72.674352|2
900249425|PHARMASAN|131|68152_131|SANTANDER|CARCASI|PROPIA|68152|PHARMASAN CARCASI|Calle 4 # 2 41/43|PUNTO FÍSICO|NO APLICA|3125895224|LUNES VIERNES 7:00 am a 5:00 pm / Sabado 8:00 am a 12:00 pm|SI|NO|NO|SI|SI|SI|PBS Y NO PBS|NO|NO|NO||6.659675274|72.5696843|2
800149695|CRUZ VERDE|138|18150_138|CAQUETÁ|CARTAGENA DEL CHAIRÁ|ALIADA|18150|IPS MUTUAL CARTAGENA DEL CHAIRA|Carrera 7# 31 32 con CL 3 # 7 2 Barrio Antioquia|PUNTO FÍSICO|NO APLICA|18000910545|LUNES A VIERNES 07:00AM A 05:00PM JORNADA CONTINUNA SABADO 08:00AM A 11:00AM|SI|NO|NO|NO|NO|SI|PBS|NO|NO|NO||6,50018289986|7.2739E+11|
816001182|AUDIFARMA|139|76147_139|VALLE DEL CAUCA|CARTAGO|PROPIA|76147|CAF CARTAGO ESPECIALIZADO MAC|C.C. TORRES DE SAN FRANCISCO CARRERA 4 NUMERO 9 73 LOCAL 7|PUNTO FÍSICO|NO APLICA|18000112554|LUNES VIERNES: 06:30 21:00SÁBADO: 7:00 AM 2:00 PM /DOMINGO Y FESTIVOS: 8:00 AM 4:00 PM|SI|NO|NO|SI|SI|NO|NO PBS|NO|NO|SI||3,793251|73840026|
800149695|CRUZ VERDE|140|76147_140|VALLE DEL CAUCA|CARTAGO|PROPIA|76147|CRUZ VERDE LLANO CARTAGO|Carrera 5 # 18 82|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a viernes de 7:00 am a 8:00 pm /Sábados de 7:00am a 6:00 pm/ Domingos y festivos de 8:00 am a 4:00 p.m.|NO|NO|NO|NO|NO|SI|PBS|NO|NO|SI||5.545795175004538|73.45364951|
890985122|COHAN|141|5154_141|ANTIOQUIA|CAUCASIA|PROPIA|5154|SERVICIO FARMACEUTICO CAUCASIA|Cra. 20 # 4 76 Módulo F C.C. Caucacentro Local 101|PUNTO FÍSICO|NO APLICA|6043228582|LUNES VIERNES 7:00 AM A 5:00 PM S 8:00 AM A 12:00 M|SI|SI|SI|SI|SI|NO|NO PBS|NO|NO|NO||5.581463400872169|72.96658988|
900249425|PHARMASAN|142|68162_142|SANTANDER|CERRITO|PROPIA|68162|PHARMASAN CERRITO|Carrera 4 # 2 57|PUNTO FÍSICO|NO APLICA|3125894877|LUNES VIERNES 7:00 AM A 5:00 PM S 8:00 AM A 12:00 M|SI|NO|NO|SI|SI|SI|PBS Y NO PBS|SI|NO|NO||1,67986937815|7.52836E+11|2
800149695|CRUZ VERDE|144|73168_144|TOLIMA|CHAPARRAL|ALIADA|73168|COPIFAM CHAPARRAL|Carrera 9 # 8 05 centro|PUNTO FÍSICO|NO APLICA|18000910545|LUNES A VIERNES 8:00 AM A 6:00 PM SABADO 8:00 AM A 6:00 PM DOMINGOS Y FESTIVOS 8:00 AM 6:00 PM|SI|NO|SI|SI|NO|SI|PBS|NO|NO|SI||4,67618|756563|
816001182|AUDIFARMA|145|25175_145|CUNDINAMARCA|CHÍA|PROPIA|25175|CAF LOS SAUCES|DIAGONAL 13 # 1 20 ESTE|PUNTO FÍSICO|NO APLICA|18000112554|24 HORAS|SI|NO|NO|SI|SI|NO|NO PBS|NO|SI|SI||5,66908432902566|7.2993E+14|
800149695|CRUZ VERDE|146|25175_146|CUNDINAMARCA|CHÍA|PROPIA|25175|CRUZ VERDE CHÍA|Carrera 2 Este # 32 24|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a Viernes 6:00 am a 6:00 pm /Sábados 6:00 am a 2:00 pm|SI|SI|SI|SI|NO|SI|PBS|NO|NO|NO||1,61792408755|7.56086E+11|
800149695|CRUZ VERDE|147|25175_147|CUNDINAMARCA|CHÍA|PROPIA|25175|CRUZ VERDE PRADILLA|Av. Pradilla # 1 12 Este|PUNTO FÍSICO|NO APLICA|18000910545|Lunes a Viernes 6:00 am a 6:00 pm /Sábados 6:00 am a 2:00 pm|SI|SI|SI|SI|NO|SI|PBS|NO|NO|NO||5.802776769671848|72.80485668|
900249425|PHARMASAN|148|68176_148|SANTANDER|CHIMA|ALIADA|68176|ESE SAN ROQUE DE CHIMA|Calle 6 # 3 66|PUNTO FÍSICO|NO APLICA|3164497264|Lunes a Viernes7:00 am a 5:00 pm // Sabado 8:00 am a 12:00 m|SI|NO|SI|NO|SI|SI|PBS Y NO PBS|NO|NO|NO||6.361627641|73.4017214|1
900249425|PHARMASAN|150|54172_150|NORTE DE SANTANDER|CHINACOTA|PROPIA|54172|PHARMASAN CHINACOTA|Calle 10 # 3 43 Local 1 Br. El Dique Conjunto Residencial Mio|PUNTO FÍSICO|NO APLICA|3232250505|Lunes a Viernes 7:00 am a 5:00 pm // Sabado 8:00 am a 12:00 pm|SI|NO|NO|SI|SI|SI|PBS Y NO PBS|NO|NO|NO||7.583353136|72.583909|3
900249425|PHARMASAN|151|68179_151|SANTANDER|CHIPATA|ALIADA|68179|DROGUERIA EL ROSAL|Carrera 6 # 2 51|PUNTO FÍSICO|NO APLICA|3112763007|Lunes a Viernes 7:00 am a 5:00 pm // Sabado 8:00 am a 12:00 pm|SI|NO|SI|NO|SI|SI|PBS Y NO PBS|NO|NO|NO||6.067944658|73.6323913|1
890985122|COHAN|152|15176_152|BOYACÁ|CHIQUINQUIRA|PROPIA|15176|SF COHAN CHIQUINQUIRA|CALLE 16 # 11 62 Parque guarin|PUNTO FÍSICO|NO APLICA|6043228582|Lunes a Viernes 7:00 AM A 6:00 PM S 7:00 AM A 1:00 M|SI|NO|SI|SI|SI|SI|PBS Y NO PBS|NO|NO|NO||2,02587|757545|
828002423|DISCOLMETS|103|15109_103|BOYACÁ|BUENAVISTA|ALIADO|15109|CONVENIO BUENAVISTA|CALLE 3A # 1 - 24 ESE CENTRO DE SALUD|PUNTO FÍSICO|3114926345|3114926345|L-V 8:00 AM -01:00 PM Y 2:00 PM - 4:00PM|SI|NO|SI|SI|SI|SI|PBS Y NO PBS|SI|NO|SI||SD|SD|
